Product Name,Brand,Laptop Type,Price,Discount,MRP,Rating,Review Count,Processor,RAM,Storage,Storage Type,Graphics,Display Size,GPU,Availability,Touchscreen,Operating System,Laptop Use
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,Thin & Light,37990,13.66,43999,3.8,1047,Intel Celeron Dual Core,8,512,SSD,Integrated,11.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,Standard Notebook,67800,10.78,75990,4.3,155,Intel Core 5,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
HP MS Office 2024 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0045TU Thin ...,HP,Thin & Light,67990,1.5,69023,4.2,118,Intel Core i5 Processor (13th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
HP Victus AI AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,HP,Gaming,120928,0,120928,4.5,77,AMD Ryzen 7 Octa Core,24,1024,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Gaming
Acer Aspire 3 Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-59-50CP Thin and Light L...,Acer,Thin & Light,56990,18.57,69990,4.7,0,Intel Core i5 Processor (12th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
Primebook 2 Pro (2026) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,Primebook,Standard Notebook,28990,27.51,39990,4.4,646,MediaTek Helio G99 (MT8781),8,128,UFS,Integrated,14.1,Not Specified,In Stock,No,Not Specified,Student / Everyday
ASUS Expertbook P1 with 1 Yr ADP(i3 14th Gen) Intel Core 3 13th Gen 1315U - (16 GB/512 GB SSD/Windows ...,ASUS,Standard Notebook,51990,30.67,74990,4.3,687,Intel Core 3 Processor (13th Gen),16,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Business
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,HP,Thin & Light,53327,0,53327,4.2,12,Intel Core i3 Processor (13th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Apple Macbook Neo A18 Pro(2026) A18 Pro - (8 GB/512 GB SSD/Tahoe) MHFG4HN/A,Apple,Standard Notebook,89900,0,89900,4.7,101,Apple A18 Pro,8,512,SSD,Integrated,13,Not Specified,In Stock,No,macOS,Student / Everyday
HP {2026} AMD Ryzen 5 Hexa Core 7535U - (8 GB/512 GB SSD/Windows 11 Home) 255R G10 Laptop,HP,Standard Notebook,57990,12.12,65990,4.6,0,AMD Ryzen 5 Hexa Core,8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) 11IGL05 Thin and Li...,Lenovo,Thin & Light,27290,30.01,38990,3.7,49,Intel Celeron Dual Core,4,256,SSD,Integrated,11.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,ASUS,Gaming,64990,25.29,86990,4.4,149,AMD Ryzen 7 Octa Core,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Gaming
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,Acer,Thin & Light,42990,2.27,43990,3.8,30,Intel Celeron Dual Core,8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
ASUS ExpertBook P1 (i3 14th Gen) with 1 Yr ADP Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 1...,ASUS,Standard Notebook,56990,32.95,84990,4.3,687,Intel Core 3 Processor (14th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Business
HP 15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Th...,HP,Standard Notebook,51990,7.14,55990,4.2,83,AMD Ryzen 3 Quad Core,8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
HP 15s Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0006TU / 15-fd0569TU Thin...,HP,Thin & Light,53990,15.63,63990,4.2,63,Intel Core i3 Processor (13th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
Acer Aspire One Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A114-45 Notebook,Acer,Standard Notebook,49261,17.9,59999,4,4,Intel Celeron Dual Core,12,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A114-43 Thin and Light Lap...,Acer,Thin & Light,44389,20.72,55990,4,74,AMD Ryzen 3 Quad Core,8,256,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11,Student / Everyday
"Acer Aspire 15 MS Office 2024 + M365 Basic, AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 ...",Acer,Standard Notebook,43990,41.35,74999,3.8,14,AMD Ryzen 3 Quad Core,8,256,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
"ASUS Vivobook 14 Flip OLED (2026) with Touch Screen, Metallic Design, Intel Core Ultra 5 226V - (16 GB...",ASUS,2-in-1,96990,45.2,176990,4.8,4,Intel Core Ultra 5,16,512,SSD,Integrated,14,Not Specified,In Stock,Yes,Windows 11 Home,Content Creation
HP 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0028TU | 15-fr0045TU Thi...,HP,Standard Notebook,68990,0.05,69023,4.4,2,Intel Core i5 Processor (13th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
HP 250R G10 (2025) (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 250R G...,HP,Standard Notebook,51999,13.33,60000,3.9,9,Intel Core 3 Processor (14th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Lenovo Ideapad Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 15IAH8...,Lenovo,Standard Notebook,79980,0.02,79999,4.1,11,Intel Core i5 Processor (12th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,Samsung,Standard Notebook,57499,0,57499,4.4,1298,Intel Core i3 Processor (13th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
ASUS ExpertBook P1 (i5 14th Gen) with 1 Yr ADP Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) ...,ASUS,Standard Notebook,66990,25.56,89990,4.4,135,Intel Core 5,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Business
HP OMEN AI AMD Ryzen AI 7 Octa Core AI 7 350 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,HP,Gaming,149990,7.98,162996,4.5,28,AMD Ryzen AI 7 Octa Core,24,1024,SSD,Integrated,16,Not Specified,In Stock,No,Windows 11 Home,Gaming
Acer Aspire 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light Laptop,Acer,Thin & Light,47990,2.06,48999,4.2,82,Intel Core i3 Processor (12th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
DELL Inspiron 15 (Core i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) DC15250 Thin...,Dell,Thin & Light,57490,8.02,62500,4.1,26,Intel Core 3,8,512,SSD,Integrated,15,Not Specified,In Stock,No,Windows 11,Student / Everyday
Acer Aspire 15 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin ...,Acer,Thin & Light,49990,35.08,76999,4.1,134,AMD Ryzen 3 Quad Core,8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,Acer,Thin & Light,51990,5.11,54790,4.1,90,Intel Core i3 Processor (12th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1505CTA-S702...,ASUS,Standard Notebook,30672,11.58,34690,4,27,Intel Celeron Dual Core,4,128,eMMC,Integrated,15.6,Not Specified,In Stock,No,Chrome OS,Student / Everyday
Lenovo AMD Ryzen 3 Quad Core 30 - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 15AMN8 Thin and Lig...,Lenovo,Thin & Light,52990,41.76,90980,,,AMD Ryzen 3 Quad Core,8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",ASUS,Standard Notebook,57291,4.51,59999,4.3,118,Intel Core i3 Processor (13th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
